證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
2371,大同,8867972,4621,383178008,43.25,43.90,42.70,43.25,-,0.30,43.20,129,43.25,8,52.74
2373,震旦行,19313,30,1422574,73.50,74.40,73.50,73.60,+,0.10,73.50,7,73.60,2,13.89
2374,佳能,1190908,857,29115205,24.80,24.80,24.25,24.35,-,0.40,24.30,43,24.35,4,37.46
2375,凱美,172292,192,11162888,64.80,65.30,64.40,64.40,-,0.40,64.40,5,64.60,3,20.71
2376,技嘉,14527398,23650,4154440824,291.00,291.50,283.00,284.00,-,8.00,284.00,30,284.50,28,38.33
2377,微星,3901265,4742,705066098,184.50,184.50,179.00,179.50,-,5.50,179.50,29,180.00,54,20.66
2379,瑞昱,1385875,1694,627844740,450.50,457.50,450.00,453.50,-,5.50,452.00,8,453.50,29,25.53
2380,虹光,99052,207,650404,6.62,6.66,6.51,6.58,-,0.04,6.55,4,6.58,9,0.00
2382,廣達,28197484,31066,6865291723,248.00,248.00,241.00,242.00,-,7.00,242.00,292,242.50,149,24.30
2383,台光電,3788841,3718,1570676279,416.50,419.50,408.50,414.50, ,0.00,414.00,22,414.50,6,29.13
2385,群光,2790294,2250,466786190,168.00,169.00,166.00,167.50,-,1.00,166.50,92,167.50,55,17.06
2387,精元,708077,523,40085646,56.70,57.20,56.20,56.60,-,0.20,56.60,1,56.70,6,8.16
2388,威盛,7448067,5596,1045419940,143.00,143.50,138.00,140.00,-,2.50,139.50,41,140.00,68,608.70
2390,云辰,753767,500,11024339,14.60,14.75,14.50,14.50,-,0.05,14.50,45,14.60,6,0.00
2392,正崴,759884,610,34038158,44.80,45.10,44.60,44.70,-,0.10,44.65,10,44.70,4,15.26
2393,億光,798882,745,39379357,48.90,49.60,48.90,49.20,+,0.30,49.15,1,49.25,3,17.08
2395,研華,351036,642,118442801,336.00,339.00,334.50,337.00,+,1.00,337.00,24,337.50,25,26.06
2397,友通,3027,6,195857,64.70,64.70,64.70,64.70,-,0.20,64.70,7,64.80,1,17.97
2399,映泰,1337057,963,31174359,23.70,23.70,23.15,23.15,-,0.60,23.15,31,23.20,5,0.00
2401,凌陽,2978810,1857,95820191,32.65,32.75,31.95,32.05,-,0.55,32.05,14,32.10,24,0.00
2402,毅嘉,2026131,1261,68095140,34.00,34.00,32.60,33.45,-,0.40,33.45,7,33.50,21,21.44
2404,漢唐,400810,537,109630777,274.00,275.00,272.00,274.50,+,1.50,274.00,1,274.50,9,11.01
2405,輔信,3495889,1486,61200155,17.50,17.80,17.35,17.45,-,0.10,17.45,22,17.50,89,0.00
2406,國碩,1371686,727,24145590,17.45,17.70,17.45,17.55,+,0.20,17.55,14,17.60,21,0.00
2408,南亞科,5765744,3309,409182609,71.00,71.50,70.60,71.00, ,0.00,70.80,6,71.00,198,0.00
2409,友達,41476294,9540,792598008,19.05,19.30,18.80,19.00,+,0.05,18.95,899,19.00,111,0.00
2412,中華電,3456662,2345,413898434,120.00,120.00,119.50,119.50,-,0.50,119.50,758,120.00,750,25.00
2413,環科,219189,120,6276126,28.65,29.00,28.40,28.50,-,0.05,28.50,1,28.55,5,15.32
2414,精技,17739,25,594119,33.50,33.60,33.40,33.50, ,0.00,33.40,8,33.50,1,14.76
2415,錩新,33405,28,963513,28.85,29.00,28.75,28.75,-,0.50,28.70,1,28.80,1,0.00
2417,圓剛,7643373,4640,265412174,33.10,35.45,33.10,34.25,+,1.25,34.25,1,34.30,22,0.00
2419,仲琦,730478,545,24344782,33.65,33.75,33.00,33.30,-,0.40,33.30,1,33.35,9,62.83
